arm,arm_label,seed,env,task_id,status,success,gt_steps,executed_steps,exec_over_gt,wall_clock_s,total_llm_calls,oracle_calls,repair_calls,executor_calls,judge_calls,prompt_tokens,completion_tokens,total_tokens,llm_latency_s,verify_mode,z3_checks,z3_unsat_events,shadow_unsat_events,repair_mode,repair_attempts,repair_successes,escalations,cdcl_enabled,clauses_learned,outer_iters,oracle_plans,termination_reason,deadlocked,validator_rejections,forbidden_rejections,hard_bans,goal,git_sha,model,temperature,timestamp
folbp-no-cdcl,- CDCL,0,env0,3,completed,True,4,4,1.0,6.012,1,1,0,0,0,3401,121,3522,5.821,z3,1,0,0,symbolic,0,0,0,False,0,1,1,,,,,,['Put the <silver coin>(48) and <battery>(39) into the <box>(52).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:31:02+0530
folbp-prompt-only,- verification,0,env0,3,completed,True,4,4,1.0,5.471,1,1,0,0,0,3401,121,3522,5.439,none,0,0,0,none,0,0,0,False,0,1,1,,,,,,['Put the <silver coin>(48) and <battery>(39) into the <box>(52).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:30:51+0530
pefa,PEFA (baseline),0,env0,3,completed,True,4,4,1.0,73.877,20,8,0,8,4,31057,1237,32294,73.863,,,,,,,,,,,,,,,,,,['Put the <silver coin>(48) and <battery>(39) into the <box>(52).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-05T23:50:27+0530
folbp,"FOLBP (full, ours)",0,env0,4,completed,True,8,10,1.25,18.634,2,2,0,0,0,6398,401,6799,18.475,z3,7,5,0,symbolic,5,2,0,True,1,2,2,,,,,,['Put the <cup>(19) on the <coffee table>(12). The <cup>(19) is originally in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:31:18+0530
folbp-llm-repair,repair: LLM re-prompt,0,env0,4,completed,True,8,8,1.0,65.28,5,1,4,0,0,16367,1692,18059,64.259,z3,5,4,0,llm,4,1,0,True,0,1,1,,,,,,['Put the <cup>(19) on the <coffee table>(12). The <cup>(19) is originally in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:32:12+0530
folbp-naive,naive one-shot,0,env0,4,completed,False,8,3,,11.079,1,1,0,0,0,3315,206,3521,11.002,shadow,1,1,1,none,0,0,0,False,0,2,1,,,,,,['Put the <cup>(19) on the <coffee table>(12). The <cup>(19) is originally in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:31:35+0530
folbp-no-cdcl,- CDCL,0,env0,4,completed,True,8,10,1.25,20.481,2,2,0,0,0,6294,401,6695,20.302,z3,7,5,0,symbolic,5,2,0,False,0,2,2,,,,,,['Put the <cup>(19) on the <coffee table>(12). The <cup>(19) is originally in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:31:29+0530
folbp-prompt-only,- verification,0,env0,4,completed,True,8,8,1.0,18.63,2,2,0,0,0,6338,374,6712,18.601,none,0,0,0,none,0,0,0,False,0,2,2,,,,,,['Put the <cup>(19) on the <coffee table>(12). The <cup>(19) is originally in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:31:17+0530
pefa,PEFA (baseline),0,env0,4,completed,True,8,8,1.0,152.743,40,16,0,16,8,76596,2933,79529,152.71,,,,,,,,,,,,,,,,,,['Put the <cup>(19) on the <coffee table>(12). The <cup>(19) is originally in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-05T23:52:38+0530
folbp,"FOLBP (full, ours)",0,env0,5,completed,True,6,6,1.0,8.274,1,1,0,0,0,3002,172,3174,8.209,z3,1,0,0,symbolic,0,0,0,True,0,1,1,,,,,,['Put the <apple>(17) into the <plate>(53) which is in the <fridge>(14). The <plate>(53) is in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:31:32+0530
folbp-llm-repair,repair: LLM re-prompt,0,env0,5,completed,True,6,6,1.0,8.597,1,1,0,0,0,3002,172,3174,8.369,z3,1,0,0,llm,0,0,0,True,0,1,1,,,,,,['Put the <apple>(17) into the <plate>(53) which is in the <fridge>(14). The <plate>(53) is in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:31:46+0530
folbp-naive,naive one-shot,0,env0,5,completed,True,6,6,1.0,8.367,1,1,0,0,0,3002,172,3174,8.207,shadow,1,0,0,none,0,0,0,False,0,1,1,,,,,,['Put the <apple>(17) into the <plate>(53) which is in the <fridge>(14). The <plate>(53) is in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:31:56+0530
folbp-no-cdcl,- CDCL,0,env0,5,completed,True,6,6,1.0,8.113,1,1,0,0,0,3002,173,3175,7.799,z3,2,1,0,symbolic,1,1,0,False,0,1,1,,,,,,['Put the <apple>(17) into the <plate>(53) which is in the <fridge>(14). The <plate>(53) is in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:31:48+0530
folbp-prompt-only,- verification,0,env0,5,completed,True,6,6,1.0,7.094,1,1,0,0,0,3002,172,3174,7.051,none,0,0,0,none,0,0,0,False,0,1,1,,,,,,['Put the <apple>(17) into the <plate>(53) which is in the <fridge>(14). The <plate>(53) is in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:31:41+0530
pefa,PEFA (baseline),0,env0,5,completed,True,6,11,1.8333,194.694,53,22,0,21,10,99028,3160,102188,194.653,,,,,,,,,,,,,,,,,,['Put the <apple>(17) into the <plate>(53) which is in the <fridge>(14). The <plate>(53) is in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-05T23:53:45+0530
folbp,"FOLBP (full, ours)",0,env0,6,completed,True,7,7,1.0,8.711,1,1,0,0,0,3381,195,3576,8.384,z3,1,0,0,symbolic,0,0,0,True,0,1,1,,,,,,['Put the <hat>(20) on the <bed>(27).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:32:02+0530
folbp-llm-repair,repair: LLM re-prompt,0,env0,6,completed,True,7,7,1.0,131.881,6,2,4,0,0,19926,2216,22142,131.793,z3,5,4,0,llm,4,0,1,True,1,2,2,,,,,,['Put the <hat>(20) on the <bed>(27).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-05T23:53:00+0530
folbp-naive,naive one-shot,0,env0,6,completed,False,7,4,,7.85,1,1,0,0,0,3381,168,3549,7.799,shadow,1,1,1,none,0,0,0,False,0,2,1,,,,,,['Put the <hat>(20) on the <bed>(27).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:32:17+0530
folbp-no-cdcl,- CDCL,0,env0,6,completed,True,7,7,1.0,7.92,1,1,0,0,0,3381,195,3576,7.822,z3,1,0,0,symbolic,0,0,0,False,0,1,1,,,,,,['Put the <hat>(20) on the <bed>(27).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:32:15+0530
folbp-prompt-only,- verification,0,env0,6,completed,True,7,7,1.0,7.965,1,1,0,0,0,3381,195,3576,7.901,none,0,0,0,none,0,0,0,False,0,1,1,,,,,,['Put the <hat>(20) on the <bed>(27).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:32:04+0530
pefa,PEFA (baseline),0,env0,6,completed,True,7,7,1.0,128.744,35,14,0,14,7,69597,2329,71926,128.712,,,,,,,,,,,,,,,,,,['Put the <hat>(20) on the <bed>(27).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-05T23:53:26+0530
folbp,"FOLBP (full, ours)",0,env0,7,completed,True,8,8,1.0,28.672,2,2,0,0,0,6848,619,7467,28.542,z3,2,1,0,symbolic,1,0,1,True,1,2,2,,,,,,['Put the <notebook>(43) on the <coffee table>(12).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:32:47+0530
folbp-llm-repair,repair: LLM re-prompt,0,env0,7,completed,True,8,8,1.0,10.739,1,1,0,0,0,3384,225,3609,10.606,z3,1,0,0,llm,0,0,0,True,0,1,1,,,,,,['Put the <notebook>(43) on the <coffee table>(12).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:32:33+0530
folbp-naive,naive one-shot,0,env0,7,completed,True,8,8,1.0,10.413,1,1,0,0,0,3384,225,3609,10.369,shadow,1,0,0,none,0,0,0,False,0,1,1,,,,,,['Put the <notebook>(43) on the <coffee table>(12).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:33:04+0530
folbp-no-cdcl,- CDCL,0,env0,7,completed,True,8,8,1.0,10.402,1,1,0,0,0,3384,225,3609,10.283,z3,1,0,0,symbolic,0,0,0,False,0,1,1,,,,,,['Put the <notebook>(43) on the <coffee table>(12).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:32:48+0530
folbp-prompt-only,- verification,0,env0,7,completed,True,8,15,1.875,27.503,2,2,0,0,0,6766,569,7335,27.462,none,0,0,0,none,0,0,0,False,0,2,2,,,,,,['Put the <notebook>(43) on the <coffee table>(12).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:32:48+0530
pefa,PEFA (baseline),0,env0,7,completed,True,8,8,1.0,138.931,40,16,0,16,8,79455,2866,82321,138.885,,,,,,,,,,,,,,,,,,['Put the <notebook>(43) on the <coffee table>(12).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-05T23:55:41+0530
folbp,"FOLBP (full, ours)",0,env0,8,completed,True,5,5,1.0,8.531,1,1,0,0,0,3128,145,3273,8.343,z3,1,0,0,symbolic,0,0,0,True,0,1,1,,,,,,['Put the <socks>(29) on the <bed>(28).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:33:03+0530
folbp-llm-repair,repair: LLM re-prompt,0,env0,8,completed,True,5,5,1.0,104.24,7,2,5,0,0,21190,1523,22713,103.936,z3,7,6,0,llm,5,0,1,True,1,2,2,,,,,,['Put the <socks>(29) on the <bed>(28).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:34:52+0530
folbp-naive,naive one-shot,0,env0,8,completed,False,5,2,,8.652,1,1,0,0,0,3128,118,3246,8.615,shadow,1,1,1,none,0,0,0,False,0,2,1,,,,,,['Put the <socks>(29) on the <bed>(28).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:33:17+0530
folbp-no-cdcl,- CDCL,0,env0,8,completed,True,5,5,1.0,8.224,1,1,0,0,0,3128,145,3273,7.821,z3,1,0,0,symbolic,0,0,0,False,0,1,1,,,,,,['Put the <socks>(29) on the <bed>(28).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:33:16+0530
folbp-prompt-only,- verification,0,env0,8,completed,True,5,5,1.0,8.444,1,1,0,0,0,3128,145,3273,8.386,none,0,0,0,none,0,0,0,False,0,1,1,,,,,,['Put the <socks>(29) on the <bed>(28).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:33:02+0530
pefa,PEFA (baseline),0,env0,8,completed,True,5,5,1.0,83.844,25,10,0,10,5,47116,1742,48858,83.813,,,,,,,,,,,,,,,,,,['Put the <socks>(29) on the <bed>(28).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-05T23:55:14+0530
folbp,"FOLBP (full, ours)",0,env0,9,completed,True,9,9,1.0,22.019,2,2,0,0,0,6654,324,6978,21.873,z3,2,0,0,symbolic,0,0,0,True,1,2,2,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35) with the <plate>(51) in the <basket>(25).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:33:45+0530
folbp-llm-repair,repair: LLM re-prompt,0,env0,9,completed,True,9,9,1.0,15.533,2,2,0,0,0,6654,324,6978,15.401,z3,2,0,0,llm,0,0,0,True,1,2,2,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35) with the <plate>(51) in the <basket>(25).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:34:08+0530
folbp-naive,naive one-shot,0,env0,9,completed,False,9,6,,9.418,1,1,0,0,0,3284,235,3519,9.324,shadow,1,0,0,none,0,0,0,False,0,2,1,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35) with the <plate>(51) in the <basket>(25).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:34:20+0530
folbp-no-cdcl,- CDCL,0,env0,9,completed,True,9,9,1.0,18.844,2,2,0,0,0,6548,324,6872,18.71,z3,2,0,0,symbolic,0,0,0,False,0,2,2,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35) with the <plate>(51) in the <basket>(25).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:34:14+0530
folbp-prompt-only,- verification,0,env0,9,completed,False,9,6,,25.551,4,4,0,0,0,13076,421,13497,25.46,none,0,0,0,none,0,0,0,False,0,5,4,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35) with the <plate>(51) in the <basket>(25).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:33:50+0530
pefa,PEFA (baseline),0,env0,9,completed,True,9,9,1.0,136.665,45,18,0,18,9,82834,3716,86550,136.629,,,,,,,,,,,,,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35) with the <plate>(51) in the <basket>(25).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-05T23:57:49+0530
folbp,"FOLBP (full, ours)",0,env0,10,completed,True,10,10,1.0,11.989,1,1,0,0,0,3054,286,3340,11.892,z3,1,0,0,symbolic,0,0,0,True,0,1,1,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35) with the <banana>(18) in the <basket>(25). The <banana>(18) is originally in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:34:30+0530
folbp-llm-repair,repair: LLM re-prompt,0,env0,10,completed,True,10,10,1.0,18.367,2,1,1,0,0,6048,614,6662,18.296,z3,2,1,0,llm,1,1,0,True,0,1,1,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35) with the <banana>(18) in the <basket>(25). The <banana>(18) is originally in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:34:54+0530
folbp-naive,naive one-shot,0,env0,10,completed,False,10,3,,12.254,1,1,0,0,0,3054,258,3312,12.189,shadow,1,1,1,none,0,0,0,False,0,2,1,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35) with the <banana>(18) in the <basket>(25). The <banana>(18) is originally in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:35:09+0530
folbp-no-cdcl,- CDCL,0,env0,10,completed,True,10,10,1.0,13.1,1,1,0,0,0,3054,286,3340,13.049,z3,1,0,0,symbolic,0,0,0,False,0,1,1,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35) with the <banana>(18) in the <basket>(25). The <banana>(18) is originally in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:34:55+0530
folbp-prompt-only,- verification,0,env0,10,completed,True,10,10,1.0,13.261,1,1,0,0,0,3054,286,3340,13.194,none,0,0,0,none,0,0,0,False,0,1,1,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35) with the <banana>(18) in the <basket>(25). The <banana>(18) is originally in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:34:38+0530
pefa,PEFA (baseline),0,env0,10,completed,True,10,10,1.0,160.711,50,20,0,20,10,91227,2632,93859,160.666,,,,,,,,,,,,,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35) with the <banana>(18) in the <basket>(25). The <banana>(18) is originally in the <fridge>(14) which is in the <kitchen>(6).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-05T23:59:33+0530
folbp,"FOLBP (full, ours)",0,env0,11,completed,True,11,11,1.0,13.546,1,1,0,0,0,2924,310,3234,13.499,z3,1,0,0,symbolic,0,0,0,True,0,1,1,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35) with the <orange>(49) in the <basket>(25). The <orange>(49) is originally in the <bedroom>(0).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:35:12+0530
folbp-llm-repair,repair: LLM re-prompt,0,env0,11,completed,True,11,11,1.0,16.679,1,1,0,0,0,2924,310,3234,16.545,z3,1,0,0,llm,0,0,0,True,0,1,1,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35) with the <orange>(49) in the <basket>(25). The <orange>(49) is originally in the <bedroom>(0).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:35:28+0530
folbp-naive,naive one-shot,0,env0,11,completed,True,11,11,1.0,15.76,1,1,0,0,0,2924,310,3234,15.641,shadow,1,0,0,none,0,0,0,False,0,1,1,,,,,,['The <quadrotor>(22) lands on the <high kitchen table>(35) with the <orange>(49) in the <basket>(25). The <orange>(49) is originally in the <bedroom>(0).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-06T03:35:35+0530
